Najsu,4940,PERFECT
Adamciu,4200,PERFECT
TypingMaster,1920,PERFECT
Adam,1855,PERFECT
asd,1775,PERFECT
Adam,1730,DREAMLAND
k00zka,1380,PERFECT
Kraszu,1320,PERFECT
Pat,665,PIRATE
Name,222,PIRATE
klklk,180,PERFECT
lul,0,PERFECT
